DATE,AKPOP,ALPOP,ARPOP,AZPOP,CAPOP,COPOP,CTPOP,DCPOP,DEPOP,FLPOP,GAPOP,HIPOP,IAPOP,IDPOP,ILPOP,INPOP,KSPOP,KYPOP,LAPOP,MAPOP,MDPOP,MEPOP,MIPOP,MNPOP,MOPOP,MSPOP,MTPOP,NCPOP,NDPOP,NEPOP,NHPOP,NJPOP,NMPOP,NVPOP,NYPOP,OHPOP,OKPOP,ORPOP,PAPOP,RIPOP,SCPOP,SDPOP,TNPOP,TXPOP,UTPOP,VAPOP,VTPOP,WAPOP,WIPOP,WVPOP,WYPOP
1900-01-01,,1830.000,1314.000,124.000,1490.000,543.000,910.000,278.000,185.000,530.000,2220.000,,2231.000,163.000,4828.000,2518.000,1473.000,2148.000,1384.000,2788.000,1189.000,695.000,2423.000,1754.000,3108.000,1553.000,245.000,1897.000,321.000,1067.000,412.000,1884.000,196.000,43.000,7283.000,4161.000,800.000,415.000,6313.000,430.000,1342,403,2023,3055,277,1858,344,523,2072,959,93
1901-01-01,,1907.000,1341.000,131.000,1550.000,581.000,931.000,285.000,187.000,544.000,2263.000,,2227.000,176.000,4914.000,2541.000,1490.000,2162.000,1412.000,2794.000,1200.000,699.000,2450.000,1805.000,3128.000,1578.000,261.000,1926.000,346.000,1078.000,412.000,1889.000,206.000,45.000,7449.000,4216.000,916.000,434.000,6439.000,441.000,1361,418,2041,3132,284,1887,347,583,2109,972,100
1902-01-01,,1935.000,1360.000,138.000,1623.000,621.000,952.000,290.000,188.000,565.000,2305.000,,2222.000,199.000,4992.000,2567.000,1505.000,2177.000,1440.000,2856.000,1210.000,703.000,2477.000,1862.000,3147.000,1603.000,270.000,1956.000,371.000,1089.000,409.000,1917.000,218.000,49.000,7612.000,4322.000,1027.000,454.000,6567.000,450.000,1379,431,2060,3210,292,1894,349,651,2141,1000,105
1903-01-01,,1957.000,1384.000,144.000,1702.000,652.000,972.000,295.000,190.000,587.000,2346.000,,2217.000,216.000,5071.000,2594.000,1498.000,2191.000,1467.000,2924.000,1209.000,709.000,2505.000,1901.000,3166.000,1628.000,282.000,1986.000,396.000,1104.000,394.000,1969.000,229.000,52.000,7771.000,4386.000,1118.000,479.000,6699.000,460.000,1397,437,2082,3291,299,1890,350,719,2171,1037,108
1904-01-01,,1978.000,1419.000,151.000,1792.000,659.000,987.000,302.000,192.000,599.000,2387.000,,2212.000,229.000,5161.000,2614.000,1527.000,2205.000,1495.000,2969.000,1217.000,719.000,2534.000,1945.000,3185.000,1653.000,293.000,2017.000,421.000,1119.000,407.000,2050.000,242.000,56.000,7927.000,4458.000,1200.000,504.000,6833.000,471.000,1415,452,2086,3374,308,1889,353,782,2202,1064,111
1905-01-01,,2012.000,1447.000,158.000,1893.000,680.000,1010.000,308.000,194.000,615.000,2427.000,,2211.000,246.000,5241.000,2635.000,1555.000,2220.000,1523.000,3018.000,1237.000,723.000,2579.000,1981.000,3204.000,1678.000,305.000,2051.000,446.000,1129.000,423.000,2151.000,255.000,59.000,8084.000,4530.000,1277.000,530.000,6970.000,481.000,1433,461,2111,3459,316,1917,354,842,2231,1094,114
1906-01-01,,2045.000,1465.000,167.000,1976.000,707.000,1033.000,313.000,196.000,628.000,2466.000,,2214.000,262.000,5309.000,2663.000,1576.000,2234.000,1551.000,3107.000,1251.000,729.000,2626.000,1987.000,3223.000,1703.000,322.000,2077.000,474.000,1138.000,415.000,2239.000,269.000,64.000,8289.000,4587.000,1349.000,555.000,7110.000,492.000,1451,477,2136,3546,327,1942,355,904,2250,1122,118
1907-01-01,,2058.000,1484.000,176.000,2054.000,733.000,1057.000,317.000,197.000,645.000,2505.000,,2217.000,277.000,5384.000,2679.000,1612.000,2249.000,1579.000,3183.000,1257.000,731.000,2693.000,1995.000,3242.000,1728.000,332.000,2105.000,501.000,1149.000,423.000,2314.000,283.000,68.000,8499.000,4630.000,1414.000,580.000,7253.000,505.000,1468,498,2136,3636,339,1952,355,967,2268,1149,125
1908-01-01,,2070.000,1513.000,186.000,2161.000,757.000,1077.000,321.000,199.000,684.000,2543.000,,2220.000,291.000,5474.000,2677.000,1629.000,2263.000,1607.000,3251.000,1269.000,735.000,2722.000,2020.000,3260.000,1753.000,346.000,2142.000,528.000,1161.000,428.000,2403.000,298.000,73.000,8714.000,4677.000,1498.000,610.000,7398.000,519.000,1485,527,2164,3727,351,1994,354,1028,2292,1174,133
1909-01-01,,2108.000,1545.000,196.000,2282.000,775.000,1097.000,327.000,201.000,724.000,2580.000,,2223.000,311.000,5567.000,2678.000,1658.000,2278.000,1634.000,3316.000,1289.000,740.000,2771.000,2051.000,3279.000,1777.000,363.000,2174.000,555.000,1177.000,431.000,2487.000,314.000,78.000,8935.000,4701.000,1585.000,643.000,7546.000,532.000,1502,553,2177,3821,363,2038,356,1091,2317,1203,141
