State,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
Alabama,,0.414,0.29,0.332,0.385,0.433,0.447,0.454,0.477,0.475,0.448,0.452,0.425,0.384,0.357,0.347,0.32,0.3,0.262,0.256,0.253,0.26,0.262
Alaska,,,,,,,,,,,,0.003,0.003,0.002,0.002,0.002,,0.03,0.03,0.034,0.041,0.035,0.033
Arizona,,,,,,,,0.003,0.003,0.004,0.015,0.015,0.01,0.024,0.025,0.03,0.035,0.033,0.03,0.028,0.03,0.031,0.041
Arkansas,,,0.13,0.117,0.155,0.209,0.227,0.256,0.252,0.263,0.274,0.28,0.281,0.27,0.258,0.248,0.223,0.218,0.183,0.163,0.159,0.157,0.154
California,,,,,,,0.01,0.011,0.008,0.007,0.009,0.007,0.009,0.011,0.014,0.018,0.044,0.056,0.07,0.077,0.074,0.067,0.062
Colorado,,,,,,,,0.001,0.011,0.013,0.015,0.016,0.014,0.012,0.011,0.011,0.015,0.023,0.03,0.035,0.04,0.038,0.04
Connecticut,0.023,0.025,0.026,0.029,0.027,0.026,0.021,0.019,0.018,0.019,0.016,0.017,0.014,0.015,0.018,0.019,0.027,0.042,0.06,0.07,0.083,0.091,0.101
Delaware,0.216,0.224,0.238,0.24,0.249,0.25,0.222,0.193,0.182,0.18,0.168,0.166,0.154,0.136,0.137,0.135,0.137,0.136,0.143,0.161,0.169,0.192,0.214
Florida,,,,,0.471,0.487,0.46,0.446,0.488,0.47,0.425,0.437,0.41,0.34,0.294,0.271,0.218,0.178,0.153,0.138,0.136,0.146,0.16
Georgia,0.359,0.371,0.425,0.444,0.426,0.41,0.424,0.44,0.46,0.47,0.467,0.467,0.451,0.417,0.368,0.347,0.309,0.285,0.259,0.268,0.27,0.287,0.305
Hawaii,,,,,,,,,,,,0.002,0.004,0.001,0.002,0.001,0.005,0.008,0.01,0.018,0.025,0.018,0.016
Idaho,,,,,,,,,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.003,0.003,0.003,0.004,0.006
Illinois,,0.074,0.064,0.025,0.015,0.008,0.006,0.004,0.011,0.015,0.015,0.018,0.019,0.028,0.043,0.049,0.074,0.103,0.128,0.147,0.148,0.151,0.145
Indiana,,0.044,0.026,0.01,0.011,0.01,0.011,0.008,0.015,0.02,0.021,0.023,0.022,0.028,0.035,0.036,0.044,0.058,0.069,0.076,0.078,0.084,0.091
Iowa,,,,,,0.004,0.002,0.002,0.005,0.006,0.006,0.006,0.007,0.008,0.007,0.007,0.008,0.009,0.012,0.014,0.017,0.021,0.029
Kansas,,,,,,,,0.006,0.047,0.043,0.035,0.035,0.032,0.033,0.035,0.036,0.038,0.042,0.048,0.053,0.058,0.057,0.059
Kentucky,0.17,0.186,0.202,0.229,0.247,0.243,0.225,0.204,0.168,0.165,0.144,0.133,0.114,0.098,0.086,0.075,0.069,0.071,0.072,0.071,0.071,0.073,0.078
Louisiana,,,0.552,0.518,0.585,0.55,0.507,0.495,0.501,0.515,0.5,0.471,0.431,0.389,0.369,0.359,0.329,0.319,0.298,0.294,0.308,0.325,0.32
Maine,0.006,0.005,0.004,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.003,0.003,0.003,0.004,0.005,0.012
Maryland,0.347,0.367,0.382,0.361,0.349,0.323,0.283,0.249,0.225,0.225,0.207,0.198,0.179,0.169,0.169,0.166,0.165,0.167,0.178,0.227,0.249,0.279,0.294
Massachusetts,0.014,0.015,0.014,0.013,0.012,0.012,0.009,0.008,0.01,0.01,0.01,0.011,0.011,0.012,0.012,0.013,0.016,0.022,0.031,0.039,0.05,0.054,0.066
Michigan,,0.037,0.03,0.021,0.008,0.003,0.006,0.009,0.01,0.009,0.007,0.007,0.006,0.016,0.035,0.04,0.069,0.092,0.112,0.129,0.139,0.142,0.142
Minnesota,,,,,,,0.006,0.002,0.002,0.002,0.003,0.003,0.003,0.004,0.004,0.004,0.005,0.007,0.009,0.013,0.022,0.035,0.052
Mississippi,,0.415,0.47,0.441,0.484,0.523,0.512,0.553,0.537,0.575,0.576,0.585,0.562,0.522,0.502,0.492,0.453,0.42,0.368,0.352,0.356,0.363,0.37
Missouri,,,0.176,0.159,0.183,0.156,0.132,0.1,0.069,0.067,0.056,0.052,0.048,0.052,0.062,0.065,0.075,0.09,0.103,0.105,0.107,0.112,0.116
Montana,,,,,,,,,0.009,0.009,0.01,0.006,0.002,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.004
Nebraska,,,,,,,,0.003,0.006,0.005,0.008,0.006,0.006,0.01,0.01,0.011,0.015,0.021,0.027,0.031,0.036,0.04,0.045
Nevada,,,,,,,,0.007,0.008,0.008,0.005,0.003,0.006,0.004,0.006,0.006,0.027,0.047,0.057,0.064,0.066,0.068,0.081
New Hampshire,0.006,0.005,0.005,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.003,0.003,0.004,0.006,0.007,0.011
New Jersey,0.077,0.08,0.076,0.072,0.064,0.058,0.049,0.038,0.034,0.034,0.033,0.037,0.035,0.037,0.052,0.055,0.066,0.085,0.107,0.126,0.134,0.136,0.137
New Mexico,,,,,,,0,0.001,0.002,0.008,0.012,0.008,0.005,0.016,0.007,0.009,0.012,0.018,0.019,0.018,0.02,0.019,0.021
New York,0.076,0.053,0.042,0.029,0.023,0.021,0.016,0.013,0.012,0.013,0.012,0.014,0.015,0.019,0.033,0.042,0.062,0.084,0.119,0.137,0.159,0.159,0.159
North Carolina,0.268,0.294,0.322,0.344,0.359,0.356,0.364,0.364,0.366,0.38,0.347,0.33,0.316,0.298,0.29,0.275,0.258,0.245,0.222,0.224,0.22,0.216,0.215
North Dakota,,,,,,,,,0.01,0.003,0.002,0.001,0.001,0.001,0.001,0,0,0.001,0.004,0.004,0.006,0.006,0.012
Ohio,,0.005,0.008,0.008,0.01,0.011,0.013,0.016,0.024,0.025,0.024,0.023,0.023,0.032,0.047,0.049,0.065,0.081,0.091,0.1,0.106,0.115,0.122
Oklahoma,,,,,,,,,,,0.084,0.07,0.083,0.074,0.072,0.072,0.065,0.066,0.067,0.068,0.074,0.076,0.074
Oregon,,,,,,,0.005,0.002,0.004,0.003,0.004,0.003,0.002,0.003,0.002,0.002,0.008,0.01,0.013,0.014,0.016,0.016,0.018
Pennsylvania,0.024,0.027,0.029,0.029,0.028,0.028,0.023,0.02,0.019,0.02,0.02,0.025,0.025,0.033,0.045,0.047,0.061,0.075,0.086,0.088,0.092,0.1,0.108
Rhode Island,0.063,0.053,0.048,0.043,0.037,0.03,0.025,0.023,0.023,0.023,0.021,0.021,0.018,0.017,0.014,0.015,0.018,0.021,0.027,0.029,0.039,0.045,0.057
