state,total,biden,trump
Alabama,9,,9
Alaska,3,,3
Arizona,11,11,
Arkansas,6,,6
California,55,55,
Colorado,9,9,
Connecticut,7,7,
Delaware,3,3,
District of Columbia,3,3,
Florida,29,,29
Georgia,16,16,
Hawaii,4,4,
Idaho,4,,4
Illinois,20,20,
Indiana,11,,11
Iowa,6,,6
Kansas,6,,6
Kentucky,8,,8
Louisiana,8,,8
Maine,4,3,1
Maryland,10,10,
Massachusetts,11,11,
Michigan,16,16,
Minnesota,10,10,
Mississippi,6,,6
Missouri,10,,10
Montana,3,,3
Nebraska,5,1,4
Nevada,6,6,
New Hampshire,4,4,
New Jersey,14,14,
New Mexico,5,5,
New York,29,29,
North Carolina,15,,15
North Dakota,3,,3
Ohio,18,,18
Oklahoma,7,,7
Oregon,7,7,
Pennsylvania,20,20,
Rhode Island,4,4,
South Carolina,9,,9
South Dakota,3,,3
Tennessee,11,,11
Texas,38,,38
Utah,6,,6
Vermont,3,3,
Virginia,13,13,
Washington,12,12,
West Virginia,5,,5
Wisconsin,10,10,
Wyoming,3,,3
