Date	Registration	Turnout	% Turnout	Precinct	Mail Ballot	% Reg Vtrs Rtnd Mail Ballot	% Turnout Voted Mail Ballot 
6/7/2022	"495,498"	"229,760"	46.37%	"22,180"	"207,580"	41.89%	90.35%
4/19/2022	"268,722"	"78,764"	29.31%	"3,715"	"75,049"	27.93%	95.28%
2/15/2022	"499,771"	"179,981"	36.01%	"11,912"	"168,069"	33.63%	93.38%
9/14/2021	"501,919"	"341,055"	67.95	"28,836"	"312,219"	62.21%	91.55%
11/3/2020	"521,099"	"449,866"	86.33	"38,455"	"411,411"	78.95%	78.95%
3/3/2020	"503,899"	"305,184"	60.56%	"107,184"	"198,000"	39.29%	64.88%
11/5/2019	"495,050"	"206,122"	41.64%	"59,428"	"146,694"	29.63%	71.17%
11/6/2018	"500,516"	"372,848"	74.49%	"127,886"	"244,962"	48.94%	65.70%
6/5/2018	"481,991"	"253,583"	52.61%	"89,756"	"163,827"	33.99%	64.60%
11/8/2016	"513,573"	"414,528"	80.71%	"151,437"	"263,091"	51.23%	63.47%
6/7/2016	"468,238"	"264,993"	56.59%	"105,039"	"159,954"	34.16%	60.36%
11/3/2015	"446,828"	"203,069"	45.45%	"77,274"	"125,795"	28.15%	61.95%
11/4/2014	"436,019"	"231,214"	53.03%	"94,995"	"136,219"	31.24%	58.91%
6/3/2014	"435,757"	"129,399"	29.70%	"39,406"	"89,993"	20.65%	69.55%
11/5/2013	"440,037"	"128,937"	29.30%	"43,534"	"85,403"	19.41%	66.24%
11/6/2012	"502,841"	"364,875"	72.56%	"171,679"	"193,196"	38.42%	52.95%
6/5/2012	"470,668"	"145,105"	30.83%	"49,779"	"95,326"	20.25%	65.69%
11/8/2011	"464,380"	"197,242"	42.47%	"84,269"	"112,973"	24.33%	57.28%
11/2/2010	"466,414"	"284,625"	61.02%	"141,319"	"143,306"	30.73%	50.35%
6/8/2010	"447,985"	"155,533"	34.72%	"63,607"	"91,926"	20.52%	59.10%
11/3/2009	"451,988"	"102,061"	22.58%	"32,464"	"69,597"	15.40%	68.19%
5/19/2009	"465,428"	"130,644"	28.07%	"46,920"	"83,724"	17.99%	64.09%
11/4/2008	"477,651"	"388,112"	81.25%	"209,527"	"178,585"	37.39%	46.01%
6/3/2008	"430,259"	"173,035"	40.22%	"83,441"	"89,594"	20.82%	51.78%
4/8/2008	"79,340"	"19,742"	24.88%	"5,332"	"        ""14,410"""	18.16%	72.99%
2/5/2008	"415,761"	"269,212"	64.75%	"158,995"	"110,217"	26.51%	40.94%
11/6/2007	"419,598"	"149,465"	35.62%	"71,276"	"78,189"	18.63%	52.31%
11/7/2006	"418,285"	"253,719"	60.66%	"145,371"	"108,348"	25.90%	42.70%
6/6/2006	"421,094"	"156,272"	37.11%	"81,132"	"75,140"	17.84%	48.08%
11/8/2005	"428,481"	"229,714"	53.61%	"136,897"	"92,817"	21.66%	40.41%
11/2/2004	"486,937"	"361,822"	74.31%	"226,354"	"135,468"	27.82%	37.44%
3/2/2004	"448,948"	"190,828"	42.51%	"120,104"	"70,724"	15.75%	37.06%
12/9/2003	"466,127"	"253,872"	54.46%	"162,673"	"91,199"	19.57%	35.92%
11/4/2003	"459,213"	"209,723"	45.67%	"140,010"	"69,713"	15.18%	33.24%
10/7/2003	"454,929"	"269,143"	59.16%	"187,647"	"81,496"	17.91%	30.28%
12/10/2002	"93,537"	"35,897"	38.38%	"19,079"	"16,818"	17.98%	46.85%
11/5/2002	"449,508"	"225,102"	50.08%	"159,645"	"65,457"	14.56%	29.08%
