jurisdiction,state,year,elections,implemented,t-3,t-2,t-1,t,t+1,t+2
Alaska,AK,2020,all state and federal elections,TRUE,2.5,5,2.5,10,15,
Albany,CA,2020,,TRUE,,,,,,
Arlington,VA,2022,primaries,TRUE,20,20,0,0,0,
Basalt,CO,2002,mayor,TRUE,,,,,,
Benton County,OR,2004,,TRUE,,,,,,
Bloomington,MN,2020,mayor and city council,TRUE,,,,,,
Boulder,CO,2020,mayor,TRUE,,,,,,
Broomfield,CO,2021,mayor and city council,TRUE,,,,,,
Burlington,VT,2021,city council,TRUE,,,,,,
Carbondale,CO,2002,mayor,TRUE,,,,,,
Corvallis,OR,2022,,TRUE,,,,,,
Easthampton,MA,2019,mayor and city council,TRUE,,,,,,
Las Cruces,NM,2018,all municipal elections,TRUE,,,,,,
Maine,ME,2016,primaries and congressional elections,TRUE,,,,,,
Minneapolis,MN,2016,most municipal elections,TRUE,,,,,,
Minnetonka,MN,2020,mayor and city council,TRUE,,,,,,
New York City,NY,2021,primaries and most municipal elections,TRUE,,,,,,
Oakland,CA,2006,mayor and city council,TRUE,,,,,,
Portland,ME,2010,mayor,TRUE,,,,,,
San Francisco,CA,2002,most municipal elections,TRUE,,,,,,
San Leandro,CA,2000,mayor and city council,TRUE,,,,,,
Sante Fe,NM,2008,"mayor, city council, and judges",TRUE,,,,,,
St. Louis Park,MN,2018,mayor and city council,TRUE,,,,,,
St. Paul,MN,2009,mayor and city council,TRUE,,,,,,
Takoma Park,MD,2006,mayor and city council,TRUE,,,,,,
Telluride,CO,2008,mayor,TRUE,,,,,,
Westbrook,ME,2021,mayor and city council,TRUE,,,,,,
Amherst,MA,2018,,FALSE,,,,,,
Eureka,CA,2020,,FALSE,,,,,,
Evanston,IL,2022,,FALSE,,,,,,
Fort Collins,CO,2022,,FALSE,,,,,,
Multnomah County,OR,2022,,FALSE,,,,,,
Portland,OR,2022,,FALSE,,,,,,
Redondo Beach,CA,2023,,FALSE,,,,,,
Seattle,WA,2022,,FALSE,,,,,,
Ann Arbor,MI,2021,,FALSE,,,,,,
Fendale,MI,2004,,FALSE,,,,,,
Nevada,NV,2022,,FALSE,,,,,,
Ojai,CA,2022,,FALSE,,,,,,
Santa Clara County,CA,1998,,FALSE,,,,,,
Vancouver,WA,1999,,FALSE,,,,,,
