Jurisdiction,State,Year,Election.Date,Office,Winner,Party
Burlington,VT,2023,3/7/23,City Council Central District,MELO GRANT,Progressive
Burlington,VT,2023,3/7/23,City Council East District,"TIMOTHY C. DOHERTY,JR",Democratic
Burlington,VT,2023,3/7/23,City Council North District,MARK BARLOW,Independent
Burlington,VT,2023,3/7/23,City Council South District,JOAN SHANNON,Democratic
Alaska,AK,2022,11/8/22,Governor / Lt Governor,Dunleavy/Dahlstrom,Republican
Alaska,AK,2022,11/8/22,State House 1,"Ortiz, Daniel H. ""Dan""",Independent
Alaska,AK,2022,11/8/22,State House 10,"Johnson, Craig W.",Republican
Alaska,AK,2022,11/8/22,State House 11,"Coulombe, Julie",Republican
Alaska,AK,2022,11/8/22,State House 12,"Schrage, Calvin R.",Independent
Alaska,AK,2022,11/8/22,State House 13,"Josephson, Andy",Democratic
Alaska,AK,2022,11/8/22,State House 14,"Galvin, Alyse S.",Independent
Alaska,AK,2022,11/8/22,State House 15,"McKay, Thomas W. ""Tom""",Republican
Alaska,AK,2022,11/8/22,State House 16,"Armstrong, Jennifer ""Jennie""",Democratic
Alaska,AK,2022,11/8/22,State House 17,"Fields, William Z. ""Zack""",Democratic
Alaska,AK,2022,11/8/22,State House 18,"Groh, Cliff",Democratic
Alaska,AK,2022,11/8/22,State House 19,"Mina, Genevieve G.",Democratic
Alaska,AK,2022,11/8/22,State House 2,"Himschoot, Rebecca",Independent
Alaska,AK,2022,11/8/22,State House 20,"Gray, Andrew T.",Democratic
Alaska,AK,2022,11/8/22,State House 21,"Mears, Donna C.",Democratic
Alaska,AK,2022,11/8/22,State House 22,"Wright, Stanley A.",Republican
Alaska,AK,2022,11/8/22,State House 23,"Allard, Jamie",Republican
Alaska,AK,2022,11/8/22,State House 24,"Saddler, Dan",Republican
Alaska,AK,2022,11/8/22,State House 25,"Johnson, DeLena M.",Republican
Alaska,AK,2022,11/8/22,State House 26,"Tilton, Cathy L.",Republican
Alaska,AK,2022,11/8/22,State House 27,"Eastman, David",Republican
Alaska,AK,2022,11/8/22,State House 28,"Sumner, Jesse M.",Republican
Alaska,AK,2022,11/8/22,State House 29,"Rauscher, George",Republican
Alaska,AK,2022,11/8/22,State House 3,"Story, Andrea ""Andi""",Democratic
Alaska,AK,2022,11/8/22,State House 30,"McCabe, Kevin J.",Republican
Alaska,AK,2022,11/8/22,State House 31,"Dibert, Maxine L.",Democratic
Alaska,AK,2022,11/8/22,State House 32,"Stapp, Will B.",Republican
Alaska,AK,2022,11/8/22,State House 33,"Prax, Glenn M. ""Mike""",Republican
Alaska,AK,2022,11/8/22,State House 34,"Tomaszewski, Frank J.",Republican
Alaska,AK,2022,11/8/22,State House 35,"Carrick, Ashley E.",Democratic
Alaska,AK,2022,11/8/22,State House 36,"Cronk, Mike",Republican
Alaska,AK,2022,11/8/22,State House 37,"Edgmon, Bryce",Independent
Alaska,AK,2022,11/8/22,State House 38,"McCormick, Conrad J. ""C.J.""",Democratic
