Jurisdiction,State,Year,Election Date,Office,Winner,Special Election?,Incumbent Status of Winner,Number of candidates,Number of rounds,Total ballots cast,First round active votes,Final round active votes,First round vote for winner,First round percent for winner,First round place for winner,Final round votes for winner,Final round percent for winner,Winner's consensus value,Winner's Final Round Votes as Percent of First Round Valid Votes,Fully ranked ballots,Ballots with 2+ Rankings,Ballots Ranking the Winner,First Round Undervote,First Round Overvotes,Total Ballots with Overvotes,Inactive by Overvote,Inactive by Skipped Rankings,Inactive by Abstention,Inactive by ranking limit,Total Inactive,Includes duplicate rankings,Includes skipped rankings,Turnout Percent (percent of registered),Registered Voters in Jurisdiction,Condorcet winner?,Come FroMBehind Winner?,Number of Rankings Permitted,Ballot Style,Ballot Marking Style,Voting Equipment Used,Link to full results,CVR Available?,Notes,RaceID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New York City,NY,2023,6/27/2023,"City council district 1, Democratic primary",Christopher Marte,N,,4,1,,,,60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District01_Dem
New York City,NY,2023,6/27/2023,"City council district 9, Democratic primary",Yusef Salaam,N,,4,2,,,,49.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District09_Dem
New York City,NY,2023,6/27/2023,"City council district 12, Democratic primary",Kevin Riley,N,,3,1,,,,82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District12_Dem
New York City,NY,2023,6/27/2023,"City council district 13, Democratic primary",Marjorie Velazquez,N,,4,1,,,,66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District13_Dem
New York City,NY,2023,6/27/2023,"City council district 13, Republican primary",Kristy Marmorato,N,,3,3,,,,47.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District13_Rep
New York City,NY,2023,6/27/2023,"City council district 13, Conservative party primary",Kristy Mororato,N,,3,1,,,,54.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District13_Cons
New York City,NY,2023,6/27/2023,"City council district 19, Democratic primary",Tony Avella,N,,3,3,,,,39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District19_Dem
New York City,NY,2023,6/27/2023,"City council district 23, Democratic primary",Linda Lee,N,,3,1,,,,63%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District23_Dem
New York City,NY,2023,6/27/2023,"City council district 25, Democratic primary",Shekar Krishnan,N,,3,1,,,,64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District25_Dem
New York City,NY,2023,6/27/2023,"City council district 29, Democratic primary",Lynn Schulman,N,,3,1,,,,54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District29_Dem
New York City,NY,2023,6/27/2023,"City council district 41, Democratic primary",Darlene Mealy,N,,3,1,,,,62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District41_Dem
New York City,NY,2023,6/27/2023,"City council district 42, Democratic primary",Chris Banks,N,,3,1,,,,51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District42_Dem
New York City,NY,2023,6/27/2023,"City council district 43, Democratic primary",Susan Zhuang,N,,3,1,,,,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District43_Dem
New York City,NY,2023,6/27/2023,"City council district 47, Republican primary",Ari  Kagan,N,,3,1,,,,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NYC_CityCouncil_District47_Rep
Burlington,VT,2023,3/7/2023,City Council Central District,MELO GRANT,N,OpenSeat,2,1,2276,2146,2146,1413,0.6208,1,1413,0.6584,0.80801,0.6584,1130,1154,1734,117,14,15,0,0,0,0,0,55,28,,,Y,N,5,Grid,Oval,Dominion,Link,Y,,Burlington_03072023_CityCouncilCentralDistrict
Burlington,VT,2023,3/7/2023,City Council East District,"TIMOTHY C. DOHERTY,JR",N,OpenSeat,2,1,1467,1397,1397,747,0.5092,1,747,0.5347,0.84324,0.5347,737,756,1178,67,3,3,0,0,0,0,0,25,7,,,Y,N,5,Grid,Oval,Dominion,Link,Y,,Burlington_03072023_CityCouncilEastDistrict
Burlington,VT,2023,3/7/2023,City Council North District,MARK BARLOW,N,Incumbent,1,1,3748,3075,3075,2950,0.7871,1,2950,0.9593,0.98114,0.9593,3017,77,3017,671,3,3,0,0,0,0,0,107,30,,,Y,N,5,Grid,Oval,Dominion,Link,Y,,Burlington_03072023_CityCouncilNorthDistrict
Burlington,VT,2023,3/7/2023,City Council South District,JOAN SHANNON,N,Incumbent,3,1,1759,1690,1690,2242,1.2746,1,2242,1.3266,0.88817,1.3266,696,940,1512,62,10,15,0,0,0,0,0,37,16,,,Y,N,5,Grid,Oval,Dominion,Link,Y,,Burlington_03072023_CityCouncilSouthDistrict
Alaska,AK,2022,11/8/2022,Governor / Lt Governor,Dunleavy/Dahlstrom,N,Incumbent,4,1,266693,264321,264321,132662,0.5019,1,132662,0.5019,0.61824,0.5019,47992,177485,177412,1781,307,811,0,0,0,0,0,2416,4517,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_GovernorLieutenantGovernor
Alaska,AK,2022,11/8/2022,State House 1,"Ortiz, Daniel H. ""Dan""",N,Incumbent,2,1,6888,6710,6710,3519,0.52444,1,3519,0.52444,0.63323,0.52444,1751,1787,4249,174,3,3,0,0,0,0,0,40,65,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict1
Alaska,AK,2022,11/8/2022,State House 10,"Johnson, Craig W.",N,OpenSeat,3,1,7153,6815,6815,3505,0.51431,1,3505,0.51431,0.66398,0.51431,1383,2788,4537,330,3,7,0,0,0,0,0,52,55,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict10
Alaska,AK,2022,11/8/2022,State House 11,"Coulombe, Julie",N,OpenSeat,3,3,8190,7687,7243,2984,0.38819,2,3678,0.5078,0.6122,0.47847,1533,3750,4718,493,4,8,0,2,442,0,444,26,78,,,Y,Y,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict11
Alaska,AK,2022,11/8/2022,State House 12,"Schrage, Calvin R.",N,Incumbent,2,1,6774,6485,6485,3825,0.58982,1,3825,0.58982,0.66507,0.58982,1509,1569,4313,285,1,1,0,0,0,0,0,42,40,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict12
Alaska,AK,2022,11/8/2022,State House 13,"Josephson, Andy",N,Incumbent,2,1,5790,5539,5539,2909,0.52519,1,2909,0.52519,0.62213,0.52519,1320,1386,3446,247,3,3,0,0,0,0,0,41,48,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict13
Alaska,AK,2022,11/8/2022,State House 14,"Galvin, Alyse S.",N,OpenSeat,2,1,6155,5708,5708,3816,0.66854,1,3816,0.66854,0.7302,0.66854,1251,1304,4168,441,3,4,0,0,0,0,0,29,55,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict14
Alaska,AK,2022,11/8/2022,State House 15,"McKay, Thomas W. ""Tom""",N,Incumbent,3,3,7709,7276,6959,2823,0.38799,2,3483,0.5005,0.60473,0.4787,1485,3625,4413,422,6,13,0,0,317,0,317,44,75,,,Y,Y,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict15
Alaska,AK,2022,11/8/2022,State House 16,"Armstrong, Jennifer ""Jennie""",N,OpenSeat,2,1,8068,7704,7704,4244,0.55088,1,4244,0.55088,0.64213,0.55088,1597,1690,4947,362,0,1,0,0,0,0,0,35,43,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict16
Alaska,AK,2022,11/8/2022,State House 17,"Fields, William Z. ""Zack""",N,Incumbent,2,1,6465,5437,5437,3030,0.55729,1,3030,0.55729,0.77414,0.55729,2762,2781,4209,1014,6,9,0,0,0,0,0,33,52,,,Y,N,5,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict17
