st,state,year,democracy_mcmc,democracy_mcmc_sd,democracy_mcmc_se,democracy_additive,democracy_mcmc_lib,democracy_mcmc_lib_sd,democracy_mcmc_lib_se,democracy_additive_lib
AL,Alabama,2018,-1.371809412,0.310232238,0.009810405,-0.730380615,-1.40859255,0.308078463,0.004356887,-0.195558542
AL,Alabama,2017,-1.406726712,0.307899687,0.009736643,-0.89077004,-1.439167225,0.298925505,0.004227445,-0.23850262
AL,Alabama,2016,-1.401978504,0.313219952,0.009904885,-0.89077004,-1.441150477,0.307540335,0.004349277,-0.23850262
AL,Alabama,2015,-1.370606212,0.314661833,0.009950481,-1.663289655,-1.380440722,0.30049677,0.004249666,-0.445343829
AL,Alabama,2014,-1.37050187,0.319344018,0.010098545,-1.663289655,-1.374608212,0.306707606,0.004337501,-0.445343829
AL,Alabama,2013,-1.608338416,0.313378348,0.009909893,-1.840467268,-1.623944148,0.308879225,0.004368212,-0.492782925
AL,Alabama,2012,-1.624487319,0.317123583,0.010028328,-1.828125533,-1.621514267,0.304974866,0.004312996,-0.48947844
AL,Alabama,2011,-0.699336952,0.315623629,0.009980896,-1.466662246,-0.771050971,0.304278554,0.004303149,-0.392697074
AL,Alabama,2010,-0.710416888,0.312965139,0.009896827,-1.462204531,-0.757727236,0.305680949,0.004322981,-0.391503526
AL,Alabama,2009,0.264443043,0.321172223,0.010156357,-1.124941015,0.113171308,0.309935845,0.004383155,-0.30120162
AL,Alabama,2008,0.238234992,0.298777434,0.009448172,-1.183207986,0.088934132,0.307011371,0.004341796,-0.316802533
AL,Alabama,2007,-0.681712294,0.301460009,0.009533003,-1.77217591,-0.8057472,0.30027136,0.004246478,-0.474497995
AL,Alabama,2006,-0.677580628,0.32490951,0.010274541,-1.750297927,-0.799569488,0.305563657,0.004321323,-0.468640191
AL,Alabama,2005,-0.625731635,0.318252658,0.010064033,-1.691856639,-0.72969071,0.305570958,0.004321426,-0.452992605
AL,Alabama,2004,-0.622132378,0.323671956,0.010235406,-1.668538088,-0.706563909,0.305698161,0.004323225,-0.446749091
AL,Alabama,2003,-0.726460601,0.317116352,0.0100281,-1.889033007,-0.830658807,0.303561588,0.004293009,-0.505786344
AL,Alabama,2002,-0.642711492,0.307668135,0.009729321,-1.690498078,-0.750697432,0.305583709,0.004321606,-0.452628852
AL,Alabama,2001,-1.382819754,0.319117497,0.010091381,-1.909516407,-1.388346107,0.309324262,0.004374506,-0.51127075
AL,Alabama,2000,-1.406872299,0.29774219,0.009415435,-1.998509491,-1.424390996,0.305825311,0.004325023,-0.535098542
AK,Alaska,2018,0.38127186,0.314404148,0.009942332,1.846949896,0.281992892,0.314914969,0.00445357,0.49451864
AK,Alaska,2017,0.272314592,0.307674071,0.009729508,1.258683181,0.174255669,0.301026606,0.004257159,0.337010926
AK,Alaska,2016,0.250313488,0.303295296,0.009591039,1.258683181,0.167714456,0.302596786,0.004279365,0.337010926
AK,Alaska,2015,0.260562036,0.315776556,0.009985731,0.759262548,0.184920868,0.299815075,0.004240025,0.203291645
AK,Alaska,2014,0.276618635,0.313271253,0.009906507,0.759262548,0.17672413,0.306274857,0.004331381,0.203291645
AK,Alaska,2013,0.270137715,0.301983217,0.009549548,0.829992924,0.191218294,0.303917217,0.004298039,0.222229619
AK,Alaska,2012,0.292818875,0.30663836,0.009696756,0.848230417,0.183993024,0.307145266,0.00434369,0.227112687
AK,Alaska,2011,0.24338711,0.305747871,0.009668597,0.685468267,0.143531868,0.303828806,0.004296788,0.183533314
AK,Alaska,2010,0.239536727,0.306860702,0.009703787,0.685396163,0.161593259,0.30437477,0.004304509,0.183514009
AK,Alaska,2009,0.32237331,0.302099421,0.009553222,0.510759118,0.201247569,0.301692154,0.004266571,0.136755147
AK,Alaska,2008,0.319697357,0.296573381,0.009378474,0.504116416,0.210764375,0.30623131,0.004330765,0.134976572
AK,Alaska,2007,0.319020587,0.310441769,0.009817031,0.503177997,0.195574325,0.303298457,0.004289288,0.134725311
AK,Alaska,2006,0.307455856,0.316737458,0.010016118,0.501515607,0.203377735,0.306939996,0.004340787,0.134280208
AK,Alaska,2005,0.309897838,0.30659202,0.009695291,0.505737888,0.207496958,0.307937876,0.004354899,0.135410719
AK,Alaska,2004,0.297622953,0.320230921,0.010126591,0.494259619,0.215506454,0.302773802,0.004281868,0.132337426
AK,Alaska,2003,0.298047248,0.310614379,0.009822489,0.504660215,0.215189077,0.304650135,0.004308404,0.135122173
AK,Alaska,2002,0.291792848,0.317315894,0.01003441,0.493362644,0.21508326,0.305072949,0.004314383,0.132097262
AK,Alaska,2001,0.27923401,0.302289691,0.009559239,0.198045521,0.187754037,0.303422922,0.004291048,0.053026453
AK,Alaska,2000,0.301024745,0.312442995,0.009880315,0.188958328,0.193243962,0.300894038,0.004255284,0.050593368
AZ,Arizona,2018,0.867081817,0.300086023,0.009489553,0.489840942,0.697216785,0.300964828,0.004256285,0.13115433
AZ,Arizona,2017,0.864544575,0.313400039,0.009910579,0.384849623,0.710407608,0.304587965,0.004307524,0.103043029
AZ,Arizona,2016,0.863218942,0.30417445,0.009618841,0.384849623,0.699105747,0.308086153,0.004356996,0.103043029
AZ,Arizona,2015,0.830673932,0.307885283,0.009736188,0.303017467,0.714327818,0.301792024,0.004267984,0.081132567
AZ,Arizona,2014,0.848210916,0.310564246,0.009820904,0.303017467,0.714847347,0.300916797,0.004255606,0.081132567
AZ,Arizona,2013,0.587977333,0.312449882,0.009880533,-0.205650051,0.436092847,0.306760376,0.004338247,-0.055062557
AZ,Arizona,2012,0.625902723,0.307442837,0.009722196,-0.147406648,0.4800952,0.302979357,0.004284775,-0.039467955
AZ,Arizona,2011,0.185763608,0.310126347,0.009807056,-0.70416126,0.108277195,0.303767174,0.004295917,-0.188538341
AZ,Arizona,2010,0.196355313,0.310207317,0.009809617,-0.697261038,0.119927889,0.303931428,0.004298239,-0.186690815
AZ,Arizona,2009,0.198292117,0.307070566,0.009710424,-1.255854679,0.097755655,0.305866476,0.004325605,-0.336253598
AZ,Arizona,2008,0.188814539,0.312176336,0.009871883,-1.273814836,0.07305617,0.304758716,0.004309939,-0.341062409
AZ,Arizona,2007,0.693083333,0.319041309,0.010088972,-0.882753752,0.555987482,0.303718846,0.004295233,-0.236356269
AZ,Arizona,2006,0.706494644,0.312876418,0.009894021,-0.893086425,0.544370486,0.303389891,0.004290581,-0.239122829
AZ,Arizona,2005,-0.46615875,0.30682103,0.009702533,-1.55545541,-0.52051057,0.30356963,0.004293123,-0.416471338
AZ,Arizona,2004,-0.429410134,0.316170873,0.009998201,-1.532944091,-0.512135187,0.310403124,0.004389763,-0.410443959
AZ,Arizona,2003,-0.214448404,0.303207518,0.009588264,-0.942457468,-0.256638244,0.306468842,0.004334124,-0.252341867
AZ,Arizona,2002,-0.220747246,0.316953537,0.010022951,-0.942036319,-0.260021082,0.30192636,0.004269884,-0.252229105
AZ,Arizona,2001,-0.231787557,0.303560305,0.00959942,-0.943324665,-0.267578075,0.30151624,0.004264084,-0.252574059
AZ,Arizona,2000,-0.216890262,0.318736262,0.010079326,-0.949600546,-0.260722411,0.303473826,0.004291768,-0.254254418
AR,Arkansas,2018,-1.003214946,0.306783124,0.009701334,-0.966496081,-1.07722834,0.304739744,0.004309671,-0.258778178
AR,Arkansas,2017,-1.014925798,0.313227824,0.009905134,-0.877108567,-1.093953501,0.306513792,0.00433476,-0.234844777
AR,Arkansas,2016,-1.014770721,0.317152595,0.010029246,-0.877108567,-1.091875114,0.307184411,0.004344244,-0.234844777
AR,Arkansas,2015,-0.712056231,0.300124711,0.009490777,-0.715696491,-0.763294422,0.300809102,0.004254083,-0.191626885
