Year,Candidate,Votes,Percent
1824,John Quincy Adams,108740,30.9
1824,Andrew Jackson,153544,41.3
1824,Henry Clay,47531,13
1824,William H. Crawford,40856,11.2
1828,Andrew Jackson,647286,56
1828,John Quincy Adams,508064,43.6
1832,Andrew Jackson,687502,54.2
1832,Henry Clay,530189,37.4
1832,William Wirt,100715,7.8
1836,Martin Van Buren,762678,50.8
1836,William Henry Harrison,550816,36.6
1836,Hugh L. White,146107,9.7
1836,Daniel Webster,41201,2.7
1840,William Henry Harrison,1275016,52.9
1840,Martin Van Buren,1129102,46.8
1844,James K. Polk,1337243,49.5
1844,Henry Clay,1299062,48.1
1844,James Gillespie Birney,62103,2.3
1848,Zachary Taylor,1360099,47.3
1848,Lewis Cass,1220544,42.5
1848,Martin Van Buren,291501,10.1
1852,Franklin Pierce,1601274,50.8
1852,Winfield Scott,1386580,43.9
1852,John Parker Hale,155210,4.9
1856,James Buchanan,1838169,45.3
1856,John C. Fremont,1341264,33.1
1856,Millard Fillmore,873053,21.5
1860,Abraham Lincoln,1866452,39.9
1860,John C. Breckinridge,847953,18.1
1860,Stephen A. Douglas,1380202,29.5
1860,John Bell,590901,12.6
1864,Abraham Lincoln,2213665,55
1864,George B. McClellan,1805237,45
1868,Ulysses S. Grant,3012833,52.7
1868,Horatio Seymour,2703249,47.3
1872,Ulysses S. Grant,3597132,55.6
1872,Horace Greeley,2834125,43.8
1876,Rutherford B. Hayes,4036298,48
1876,Samuel J. Tilden,4300590,51
1880,James A. Garfield,4454416,48.3
1880,Winfield Scott Hancock,4444952,48.2
1880,James B. Weaver,305997,3.3
1884,Grover Cleveland,4874986,48.5
1884,James G. Blaine,4851981,48.3
1888,Benjamin Harrison,5439853,47.8
1888,Grover Cleveland,5540309,48.6
1888,Clinton B. Fisk,249819,2.2
1892,Grover Cleveland,5556918,46.1
1892,Benjamin Harrison,5176108,43
1892,James B. Weaver,1027329,8.5
1892,John Bidwell,270770,2.2
1896,William McKinley,7104779,51
1896,William Jennings Bryan,6502925,46.7
1900,William McKinley,7207923,51.7
1900,William Jennings Bryan,6358133,45.5
1904,Theodore Roosevelt,7623486,56.4
1904,Alton B. Parker,5077911,37.6
1904,Eugene V. Debs,402489,3
1908,William Howard Taft,7678908,51.6
1908,William Jennings Bryan,6409104,43
1908,Eugene V. Debs,420380,2.8
1912,Woodrow Wilson,6293454,41.8
1912,Theodore Roosevelt,4119207,27.4
1912,William Howard Taft,3483922,23.2
1912,Eugene V. Debs,900369,6
1916,Woodrow Wilson,9129606,49.2
1916,Charles Evan Hughes,8538221,46.1
1916,Allan L. Benson,589924,3.2
1920,Warren G. Harding,16147249,60.3
1920,James M. Cox,9140864,34.1
1920,Eugene V. Debs,897704,3.4
1924,Calvin Coolidge,15724016,54.1
1924,John W. Davis,8386503,28.8
1924,Robert M. La Follette,4822856,16.6
1928,Herbert Hoover,21392190,58
1928,Alfred E. Smith,15016443,40.7
1932,Franklin D. Roosevelt,22821857,57.3
1932,Herbert Hoover,15761841,39.6
1932,Norman Thomas,884781,2.2
1936,Franklin D. Roosevelt,27476673,60.2
1936,Alfred M. Landon,16679583,36.5
1940,Franklin D. Roosevelt,27243466,54.7
1940,Wendell L. Willkie,22304755,44.8
1944,Franklin D. Roosevelt,25602505,53.3
1944,Thomas E. Dewey,22006278,45.8
1948,Harry S. Truman,24105695,49.4
1948,Thomas E. Dewey,21969170,45
1948,Strom Thurmond,1169021,2.4
1948,Henry A. Wallace,1156103,2.4
1952,Dwight D. Eisenhower,33778963,54.9
1952,Adlai E. Stevenson,27314992,44.4
1956,Dwight D. Eisenhower,35581003,57.4
1956,Adlai E. Stevenson,25738765,42
1960,John F. Kennedy,34227096,49.7
1960,Richard M. Nixon,34107646,49.5
1964,Lyndon B. Johnson,42825463,61.1
1964,Barry M. Goldwater,27146969,38.5
1968,Richard M. Nixon,31710470,43.4
1968,Hubert H. Humphrey,30898055,42.7
1968,George C. Wallace,9906473,13.5
1972,Richard M. Nixon,46740323,60.7
1972,George S. McGovern,28901598,37.5
1972,John Hospers,3673,0
1976,Jimmy Carter,40825839,50
1976,Gerald R. Ford,39147779,48
1980,Ronald W. Reagan,43642639,50.4
1980,Jimmy Carter,35480948,41
1980,John B. Anderson,5719437,6.6
1984,Ronald W. Reagan,54455075,58.8
1984,Walter F. Mondale,37577185,40.6
1988,George H.W. Bush,48886097,53.4
1988,Michael S. Dukakis,41809074,45.7
1992,Bill Clinton,44909889,43
1992,George H.W. Bush,39104545,37.4
1992,Ross Perot,19742267,18.9
1996,Bill Clinton,47402357,49.2
1996,Bob Dole,39198755,40.7
1996,Ross Perot,8085402,8.4
2000,George W. Bush,50456002,47.9
2000,Al Gore,50999897,48.4
2000,Ralph Nader,2882955,2.7
2004,George W. Bush,62028285,50.7
2004,John Kerry,59028109,48.3
2008,Barack Obama,69456000,52.9
2008,John McCain,59934000,45.7
2012,Barack Obama,65446032,50.9
2012,Mitt Romney,60589084,47.1
2016,Donald Trump,62979636,46
2016,Hillary Clinton,65844610,48.1
