"Original.URL","parliaments.Limit"
"https://data.ipu.org /elections?region=&structure=any__lower_chamber&form_build_id=form-LM5XNmMSpTc7Fo099DiBo6Tpjxakn163-9q8jmdpASY&form_id=ipu__utils_filter_form&op=Show%20items&sort=asc&order=Country",100
"https://data.ipu.org /elections?region=&structure=any__lower_chamber&form_build_id=form-LM5XNmMSpTc7Fo099DiBo6Tpjxakn163-9q8jmdpASY&form_id=ipu__utils_filter_form&op=Show%20items&sort=asc&order=Country%20without%20accent",100
"https://data.ipu.org /elections?region=&structure=any__lower_chamber&form_build_id=form-LM5XNmMSpTc7Fo099DiBo6Tpjxakn163-9q8jmdpASY&form_id=ipu__utils_filter_form&op=Show%20items&sort=asc&order=Principal%20mode%20of%20designation%20of%20members",100
"https://data.ipu.org /elections?region=&structure=any__lower_chamber&form_build_id=form-LM5XNmMSpTc7Fo099DiBo6Tpjxakn163-9q8jmdpASY&form_id=ipu__utils_filter_form&op=Show%20items&sort=asc&order=Last%20election",100
"https://data.ipu.org /elections?region=&structure=any__lower_chamber&form_build_id=form-LM5XNmMSpTc7Fo099DiBo6Tpjxakn163-9q8jmdpASY&form_id=ipu__utils_filter_form&op=Show%20items&sort=asc&order=Expected%20date%20of%20next%20elections",100
"https://data.ipu.org /elections?region=&structure=any__lower_chamber&form_build_id=form-LM5XNmMSpTc7Fo099DiBo6Tpjxakn163-9q8jmdpASY&form_id=ipu__utils_filter_form&op=Show%20items&sort=asc&order=Last%20election%20%28ISO%208601%29",100
"https://data.ipu.org /node/2/elections?chamber_id=13313",100
"https://data.ipu.org /node/3/elections?chamber_id=13314",100
"https://data.ipu.org /node/4/elections?chamber_id=13318",100
"https://data.ipu.org /node/5/elections?chamber_id=13319",100
"https://data.ipu.org /node/6/elections?chamber_id=13320",100
"https://data.ipu.org /node/7/elections?chamber_id=13322",100
"https://data.ipu.org /node/8/elections?chamber_id=13324",100
"https://data.ipu.org /node/9/elections?chamber_id=13325",100
"https://data.ipu.org /node/10/elections?chamber_id=13327",100
